name,week_k_max,rsi_max,require_k_cross,require_macd_improve,require_close_ma20,require_twii_ma20,stop_loss,take_profit,max_hold,trades_train,win_rate_train,avg_return_train,profit_factor_train,max_drawdown_train,cagr_train,total_return_train,trades_test,win_rate_test,avg_return_test,profit_factor_test,max_drawdown_test,cagr_test,total_return_test,score,description,wf_windows,wf_positive_windows,wf_median_pf,wf_median_return,final_score
S05918,40,40,False,True,False,False,0.07,0.1,20,16,0.625,0.030118504203932424,2.318641058183549,-0.14155076596967808,0.06544687271770688,0.5408717474495572,5,0.8,0.04881740832745606,4.352936092162978,-0.07279799999999992,0.14353444793446068,0.25567200328642214,11.342483223872732,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長20日,4,4,2.3640342916654977,0.20176625687206917,11.892483223872732
S06488,40,45,False,True,False,False,0.05,0.15,40,20,0.45,0.03320863454545805,2.2219445030382667,-0.2778030693940685,0.08611257122174609,0.7685303602378231,5,0.6,0.07597134473614976,7.151597983381139,-0.05279800000000001,0.22889338033223194,0.4172853543598163,11.34046866734865,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長40日,4,4,3.4254633518170405,0.3523824356388824,11.890468667348651
S05921,40,40,False,True,False,False,0.07,0.15,10,17,0.6470588235294118,0.027262533250144907,2.2460066188208656,-0.08541502617599428,0.06212544731653291,0.5089054432659768,5,0.8,0.06947803135272784,5.771973910871713,-0.07279799999999992,0.2064873662354998,0.37737392690334515,11.308593293876903,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長10日,4,4,2.537145265305557,0.3086691470231583,11.858593293876904
S05906,40,40,False,True,False,False,0.05,0.1,20,16,0.625,0.03636850420393245,3.1921199501947326,-0.1041173813965447,0.08224780801399967,0.7143825023365444,6,0.6666666666666666,0.03521484027288003,3.0009189897087007,-0.10280837119600006,0.12199932966395077,0.21503017667361202,11.261782178858095,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利10%｜最長20日,4,4,2.5867579311878566,0.23259005462374316,11.811782178858095
S06497,40,45,False,True,False,False,0.07,0.15,10,21,0.6190476190476191,0.022106187241889893,2.0302167597696474,-0.15199498310043424,0.06071093389146642,0.5020138159253489,6,0.8333333333333334,0.0658435553548142,6.42681573846651,-0.07279800000000003,0.23988158434119566,0.4430349609162718,10.920644040175615,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長10日,4,4,2.375895313730931,0.3012889222276348,11.470644040175616
S06498,40,45,False,True,False,False,0.07,0.15,20,20,0.55,0.026188612707418485,1.9086615618503233,-0.20404415330861736,0.06613440216986444,0.5558277693472282,6,0.6666666666666666,0.06038964433338892,4.465783401539218,-0.07279799999999992,0.2128104315437045,0.38970941992584796,10.599080299158121,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長20日,4,4,2.1947163201692668,0.30593074718469215,11.149080299158122
S06499,40,45,False,True,False,False,0.07,0.15,30,19,0.5263157894736842,0.03066484921235064,1.889267615768842,-0.31471409595837174,0.07204929181169084,0.6163891073864669,5,0.6,0.07158652388829795,5.277735846840795,-0.07279800000000003,0.21022808437283858,0.38466609369500415,10.53124892343713,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長30日,4,3,2.8983607887555873,0.2502994960385273,11.01874892343713
S05905,40,40,False,True,False,False,0.05,0.1,10,17,0.6470588235294118,0.025664900322505606,2.604299565362349,-0.06034601656399363,0.06110697165272394,0.4985704779150828,6,0.6666666666666666,0.0357653594606066,3.0321996738857475,-0.10280837119599995,0.12424464254560452,0.2191470748315596,10.440631097325,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利10%｜最長10日,4,4,2.6397939578969303,0.24577465836246315,10.990631097325
S05917,40,40,False,True,False,False,0.07,0.1,10,17,0.6470588235294118,0.01978254738132912,1.9041413997777499,-0.08541502617599439,0.044634229050549035,0.34690181907143547,5,0.8,0.04947803135272794,4.398309799220307,-0.07279799999999992,0.14581546695727687,0.2599266085271481,10.435146013425605,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長10日,4,4,2.074010031341029,0.19477785344381748,10.985146013425606
S05920,40,40,False,True,False,False,0.07,0.1,40,16,0.625,0.03345200000000002,2.22538164967902,-0.20288115014183394,0.0719942240849738,0.6066159129605375,5,0.6,0.04197134473614989,3.567077448627286,-0.07279799999999992,0.12088629922498195,0.21374970684215922,10.442632400684738,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長40日,4,3,2.451153219217349,0.1517220942374884,10.93013240068474
