research_date,name,description,final_score,score,trades_test,profit_factor_test,max_drawdown_test,wf_windows,wf_positive_windows,wf_median_pf,wf_median_return
2026-07-30,S05910,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長20日,15.899117793214057,15.349117793214054,5,8.842854684595617,-0.052798,4,4,4.064611069561453,0.4423215432429617
2026-07-30,S05911,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長30日,15.595626551471105,15.045626551471104,5,6.935488521678293,-0.052798,4,4,4.365547988111196,0.4293722700957028
2026-07-30,S05912,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長40日,14.996769519649224,14.446769519649225,5,7.151597983381139,-0.052798,4,4,3.9482175281115968,0.4661424615820628
2026-07-30,S05909,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長10日,13.749833142218211,13.19983314221821,5,7.95841048455697,-0.052798,4,4,3.484117584130043,0.38633455495986
2026-07-30,S05922,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長20日,13.402561575549916,12.852561575549917,5,6.413432259640091,-0.072798,4,4,2.949873834683797,0.3688136828484502
2026-07-30,S05923,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長30日,13.159443300782854,12.609443300782852,5,5.277735846840795,-0.072798,4,4,3.166188668319111,0.3413549683776103
2026-07-30,S05924,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長40日,12.801364952872806,12.251364952872803,5,5.401956076961711,-0.072798,4,4,2.931256021499516,0.3745138843387361
2026-07-30,S06485,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長10日,12.329347293387173,11.779347293387172,6,8.861307855011267,-0.052798,4,4,3.031856298137627,0.3647081626503327
2026-07-30,S06487,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長30日,12.157123707832763,11.607123707832764,5,6.935488521678293,-0.052798,4,4,3.8808657871923935,0.3209277108531954
2026-07-30,S06486,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長20日,12.102741854255177,11.552741854255176,6,5.522183776334877,-0.052798,4,4,2.763308510787674,0.3669495592198052
2026-07-30,S05918,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長20日,11.892483223872732,11.342483223872732,5,4.352936092162978,-0.0727979999999999,4,4,2.3640342916654977,0.2017662568720691
2026-07-30,S06488,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長40日,11.890468667348651,11.34046866734865,5,7.151597983381139,-0.052798,4,4,3.4254633518170405,0.3523824356388824
2026-07-30,S05921,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長10日,11.858593293876904,11.308593293876903,5,5.771973910871713,-0.0727979999999999,4,4,2.537145265305557,0.3086691470231583
2026-07-30,S05906,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利10%｜最長20日,11.811782178858095,11.261782178858097,6,3.0009189897087007,-0.102808371196,4,4,2.586757931187857,0.2325900546237431
2026-07-30,S06497,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長10日,11.470644040175616,10.920644040175617,6,6.42681573846651,-0.072798,4,4,2.375895313730931,0.3012889222276348
2026-07-30,S06498,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長20日,11.149080299158122,10.59908029915812,6,4.465783401539218,-0.0727979999999999,4,4,2.1947163201692668,0.3059307471846921
2026-07-30,S06499,周KD<40｜RSI<45｜MACD改善｜停損7%｜停利15%｜最長30日,11.01874892343713,10.53124892343713,5,5.277735846840795,-0.072798,4,3,2.898360788755588,0.2502994960385273
2026-07-30,S05905,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利10%｜最長10日,10.990631097325,10.440631097325,6,3.0321996738857475,-0.1028083711959999,4,4,2.6397939578969303,0.2457746583624631
2026-07-30,S05917,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長10日,10.985146013425606,10.435146013425603,5,4.398309799220307,-0.0727979999999999,4,4,2.074010031341029,0.1947778534438174
2026-07-30,S05920,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利10%｜最長40日,10.93013240068474,10.442632400684738,5,3.567077448627286,-0.0727979999999999,4,3,2.451153219217349,0.1517220942374884
