asset_code,data_asof,horizon_days,sample_count,win_count,win_rate_pct,average_return_pct,median_return_pct,expected_return_after_cost_pct,average_mae_pct,worst_mae_pct,average_mfe_pct,return_ci95_low_pct,return_ci95_high_pct
00631L,2026-07-31,3,60,31,51.7,-0.2,0.43,-0.4,-2.69,-10.7,2.02,-1.31,0.84
00631L,2026-07-31,5,60,38,63.3,0.16,1.34,-0.04,-3.7,-29.66,3.16,-1.31,1.5
00631L,2026-07-31,10,60,34,56.7,0.15,0.7,-0.05,-5.4,-45.29,4.72,-2.11,2.28
